Cod,Freq,Mag
0,4330,3.8766
0,4340,3.3666
0,4350,3.5926
0,4360,3.7828
0,4370,3.5197
0,4380,3.2003
0,4390,3.1021
0,4400,2.9601
0,4410,2.1705
0,4420,2.7882
0,4430,2.7128
0,4440,2.0056
0,4450,2.3503
0,4460,1.9957
0,4470,1.9283
0,4480,1.543
0,4490,1.0755
0,4500,1.5849
0,4510,1.7001
0,4520,1.5835
0,4530,1.4797
0,4540,1.0311
0,4550,1.855
0,4560,1.1054
0,4570,1.8119
0,4580,1.9749
0,4590,2.0268
0,4600,1.8518
0,4610,2.0867
0,4620,1.9891
0,4630,2.1252
0,4640,2.541
0,4650,1.9164
0,4660,2.6832
0,4670,2.7593
0,4680,2.8763
0,4690,2.6698
0,4700,2.7304
0,4710,2.902
0,4720,3.1336
0,4730,2.1558
0,4740,2.1425
0,4750,2.7857
0,4760,2.0177
0,4770,2.8627
0,4780,2.511
0,4790,2.3293
0,4800,2.5123
0,4810,2.1725
0,4820,2.3217
0,4830,1.2558
0,4840,2.1428
0,4850,1.803
0,4860,1.852
0,4870,1.66
0,4880,1.5836
0,4890,1.6736
0,4900,1.57
0,4910,0.6624
0,4920,1.4568
0,4930,1.2295
0,4940,1.5785
0,4950,1.1037
0,4960,1.4752
0,4970,1.5503
0,4980,1.5639
0,4990,1.3506
0,5000,1.3063
0,5010,1.5434
0,5020,1.3618
0,5030,0.58
0,5040,1.4709
0,5050,1.4522
0,5060,1.5875
0,5070,1.7387
0,5080,0.6714
0,5090,0.5566
0,5100,1.6797
0,5110,0.759
0,5120,1.4256
0,5130,1.4435
0,5140,1.4789
0,5150,1.4224
0,5160,1.6197
0,5170,1.5081
0,5180,1.2968
0,5190,1.6152
0,5200,1.4366
0,5210,1.2682
0,5220,1.4088
0,5230,1.258
0,5240,0.982
0,5250,1.2131
0,5260,0.3179
0,5270,0.2686
0,5280,1.3555
0,5290,0.4329
0,5300,1.1085
0,5310,0.0685
0,5320,0.9946
0,5330,-0.1009
0,5340,0.9702
0,5350,-0.1527
0,5360,0.6358
0,5370,0.5008
0,5380,-0.291
0,5390,0.3664
0,5400,-0.2982
0,5410,0.0563
0,5420,-0.0647
0,5430,-0.8346
0,5440,-0.0453
0,5450,-0.1972
0,5460,-0.2731
0,5470,-0.6908
0,5480,-1.5574
0,5490,-1.1522
0,5500,-1.7588
0,5510,-1.5218
0,5520,-1.3174
0,5530,-1.9146
0,5540,-1.9244
0,5550,-0.6583
0,5560,-1.9321
0,5570,-1.8846
0,5580,-1.2357
0,5590,-0.7907
0,5600,-0.9741
0,5610,-2.061
0,5620,-0.8675
0,5630,-1.1939
0,5640,-0.7072
0,5650,-0.9705
0,5660,-1.7863
0,5670,-2.2935
0,5680,-1.2241
0,5690,-1.2875
0,5700,-1.4412
0,5710,-2.1623
0,5720,-2.5053
0,5730,-2.4451
0,5740,-3.2899
0,5750,-2.2891
0,5760,-2.3507
0,5770,-2.5355
0,5780,-3.0526
0,5790,-2.9398
0,5800,-3.0633
0,5810,-3.5282
0,5820,-4.9706
0,5830,-3.1545
0,5840,-3.2935
0,5850,-3.4439
0,5860,-3.8021
0,5870,-3.5864
0,5880,-4.5278
0,5890,-5.1718
0,5900,-3.42
0,5910,-3.4391
0,5920,-4.4142
0,5930,-3.4607
0,5940,-3.3737
0,5950,-3.3112
0,5960,-3.2992
0,5970,-3.3461
0,5980,-3.8993
0,5990,-3.2266
0,6000,-3.128
1,70,-7.5299
1,80,-11.3113
1,90,-6.8808
1,100,-5.3784
1,110,-5.7997
1,120,-3.4787
1,130,-4.6538
1,140,-2.1787
1,150,-2.4748
1,160,-2.2975
1,170,-0.7861
1,180,-1.3765
1,190,-0.5253
1,200,-1.6503
1,210,-0.2718
1,220,-1.5504
1,230,-0.9702
1,240,-0.2795
1,250,-0.8692
1,260,-0.3148
1,270,0.5743
1,280,0.2743
1,290,-1.0558
1,300,-0.717
1,310,0.8123
1,320,0.5852
1,330,0.593
1,340,0.5302
1,350,1.6956
1,360,1.7953
1,370,0.5552
1,380,0.1149
1,390,2.2543
1,400,0.5481
1,410,1.3758
1,420,0.225
1,430,0.225
1,440,1.3278
1,450,1.887
1,460,-0.1772
1,470,0.0497
1,480,1.3556
1,490,0.5483
1,500,2.3981
1,510,1.7998
1,520,0.6622
1,530,2.1495
1,540,1.3156
1,550,0.941
1,560,2.1626
1,570,2.9837
1,580,1.8106
1,590,3.0118
1,600,1.4847
1,610,2.8791
1,620,0.9494
1,630,0.9887
1,640,2.0806
1,650,2.3564
1,660,2.3397
1,670,2.8678
1,680,2.6713
1,690,2.341
1,700,1.3896
1,710,1.9212
1,720,1.8897
1,730,3.1206
1,740,2.922
1,750,1.6294
1,760,2.7233
1,770,2.9741
1,780,2.0531
1,790,2.9417
1,800,3.3975
1,810,1.7174
1,820,1.4604
1,830,1.7135
1,840,3.0359
1,850,2.6736
1,860,3.0816
1,870,2.9946
1,880,2.2481
1,890,1.6373
1,900,2.0928
1,910,1.9234
1,920,2.3232
1,930,3.0541
1,940,3.082
1,950,3.391
1,960,1.684
1,970,3.2518
1,980,3.2439
1,990,2.397
1,1000,1.4465
1,1010,1.9155
1,1020,2.1568
1,1030,2.1494
1,1040,2.0724
1,1050,2.5497
1,1060,2.3525
1,1070,3.285
1,1080,2.1465
1,1090,3.0092
1,1100,2.7764
1,1110,3.2239
1,1120,1.7251
1,1130,2.1446
1,1140,2.4283
1,1150,2.1542
1,1160,1.6076
1,1170,1.6344
1,1180,2.355
1,1190,1.7514
1,1200,1.6426
1,1210,1.4511
1,1220,1.6005
1,1230,1.4881
1,1240,2.3265
1,1250,2.8582
1,1260,1.6847
1,1270,3.029
1,1280,1.6006
1,1290,2.0865
1,1300,2.1471
